night_image,original_label,rematched_place_id,place_name,flow_step,valid_day_images,rematch_decision,notes
image009.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Red wall and ramp zone.
image010.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Portico and columns within the same entry zone.
image011.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Portico and columns within the same entry zone.
image012 (2).jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Glass corner and planters in the red entry zone.
image012.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Glass corner and planters in the red entry zone.
image013.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Red wall glass corner from a side angle.
image014.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Red wall glass corner from an interior angle.
image015.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Interior doorway near the red wall.
image016.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Interior return toward the atrium from the entry zone.
image017.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Interior return toward the atrium from the entry zone.
image018.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Transition back into the atrium.
image019.jpg,matched_exact,P03,ncafe,3,"image019.jpg|image020.jpg",matched_place_level,Glass doorway into the innovation hub area.
image020-npm.jpg,marked_npm,P03,ncafe,3,"image019.jpg|image020.jpg",rematched_from_npm,Same doorway zone but a different acceptable view.
image021.jpg,matched_exact,P04,booth,4,"image021.jpg|image022.jpg|image023.jpg",matched_place_level,Booth seating area on the balcony edge.
image022.jpg,matched_exact,P04,booth,4,"image021.jpg|image022.jpg|image023.jpg",matched_place_level,Balcony walkway beside the booth.
image023.jpg,matched_exact,P04,booth,4,"image021.jpg|image022.jpg|image023.jpg",matched_place_level,Balcony walkway with booth and railing.
image025.jpg,matched_exact,P05,screens,5,"image024.jpg|image025.jpg|image026.jpg|image027.jpg",matched_place_level,Screen wall and railing section.
image028.jpg,matched_exact,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Red corridor lounge view.
image029.jpg,matched_exact,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Red corridor lounge with window-side seating.
image030-npm.jpg,marked_npm,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",rematched_from_npm,Same red corridor lounge rather than a true no-match.
image031-npm.jpg,marked_npm,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",rematched_from_npm,Same red corridor lounge / interior return zone.
image032-npm.jpg,marked_npm,P07,cafeteria,7,"image032.jpg|image033.jpg|image034.jpg|image035.jpg|image036.jpg|image037.jpg|image038.jpg",rematched_from_npm,Stair and tables area from a different viewpoint.
image033.jpg,matched_exact,P07,cafeteria,7,"image032.jpg|image033.jpg|image034.jpg|image035.jpg|image036.jpg|image037.jpg|image038.jpg",matched_place_level,Stair and tables area.
image034.jpg,matched_exact,P07,cafeteria,7,"image032.jpg|image033.jpg|image034.jpg|image035.jpg|image036.jpg|image037.jpg|image038.jpg",matched_place_level,Stair and tables area.
image035.jpg,matched_exact,P07,cafeteria,7,"image032.jpg|image033.jpg|image034.jpg|image035.jpg|image036.jpg|image037.jpg|image038.jpg",matched_place_level,Tables and corridor area.
image037.jpg,matched_exact,P07,cafeteria,7,"image032.jpg|image033.jpg|image034.jpg|image035.jpg|image036.jpg|image037.jpg|image038.jpg",matched_place_level,Tables and corridor area.
image038.jpg,matched_exact,P07,cafeteria,7,"image032.jpg|image033.jpg|image034.jpg|image035.jpg|image036.jpg|image037.jpg|image038.jpg",matched_place_level,Corridor by tables and elevator side.
image040.jpg,matched_exact,P08,cafbanner,8,"image039.jpg|image040.jpg",matched_place_level,Pink banner window corner.
image041.jpg,matched_exact,P09,outdoor,9,"image041.jpg|image042.jpg|image043.jpg|image044.jpg|image045.jpg|image046.jpg|image047.jpg|image048.jpg",matched_place_level,Outdoor plaza path at night.
image042.jpg,matched_exact,P09,outdoor,9,"image041.jpg|image042.jpg|image043.jpg|image044.jpg|image045.jpg|image046.jpg|image047.jpg|image048.jpg",matched_place_level,Outdoor plaza path at night.
image043-npm.jpg,marked_npm,P09,outdoor,9,"image041.jpg|image042.jpg|image043.jpg|image044.jpg|image045.jpg|image046.jpg|image047.jpg|image048.jpg",rematched_from_npm,Outdoor plaza path with slightly shifted viewpoint.
image045-npm.jpg,marked_npm,P09,outdoor,9,"image041.jpg|image042.jpg|image043.jpg|image044.jpg|image045.jpg|image046.jpg|image047.jpg|image048.jpg",rematched_from_npm,Outdoor plaza path / shrub edge from a different view.
image047-npm.jpg,marked_npm,P09,outdoor,9,"image041.jpg|image042.jpg|image043.jpg|image044.jpg|image045.jpg|image046.jpg|image047.jpg|image048.jpg",rematched_from_npm,Building-side outdoor path rather than a true no-match.
npm01.jpg,marked_npm,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",rematched_from_npm,Interior glass return within the same red entry transition zone.
npm02.jpg,marked_npm,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",rematched_from_npm,Red wall ramp view within the same entry zone.
npm03.jpg,marked_npm,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",rematched_from_npm,Exterior columns / portico still in the same entry zone.
npm04.jpg,marked_npm,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",rematched_from_npm,Interior glass doorway beside the red wall.
